Name,Type,Description,AccountName_BlueSky,Server_Mastodon,AccountName_Mastodon,AccountName_Twitter,AccountName_LinkedIn,AccountName_YouTube,AccountName_GitHub,Url_RssFeed,Url_Website,Url_Blog
ListSky,Bot,"ListSky manages a number of open lists of people, organisations, communities and bots",listsky.bsky.social,,,,,,,,https://instantiator.dev/listsky,
Blair Shedd,Individual,"Artist and illustrator, more focussed on Doctor Who than Star Trek",onegemini.com,,,,,,,,https://onegemini.com,
Once and Future Bog Hag,Individual,"Cartoonist and illustrator, with a mix of topics including Star Trek",dhooverart.bsky.social,,,,,,,,https://dhoover.art,
Alex 'the rage' Page,Individual,"Artist, and creator of The Trek Deck",deosildesigns.bsky.social,,,,,,,,https://deosildesigns.com,
Cthonyxa,Individual,"Artist, occasionally posting Star Trek fan art",cthonyxa.bsky.social,,,,,,,,https://www.cthonyxa.me,
